manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing
Elara India,Paisalo Digital Ltd,INE420C01042,2018-09-30,1846067,7.78,2018-10-13,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2018-06-30,1846067,7.78,2018-07-12,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2018-03-31,1846067,7.78,2018-04-14,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2017-12-31,1846067,7.78,2018-01-15,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2019-06-30,1846067,7.25,2019-07-20,Threshold Routine
Elara India,Renaissance Global Ltd,INE722H01016,2016-06-30,533234,2.79,2016-07-19,Threshold Routine
Elara India,Renaissance Global Ltd,INE722H01016,2016-12-31,533234,2.79,2017-01-20,Threshold Routine
Elara India,Renaissance Global Ltd,INE722H01016,2017-03-31,533234,2.79,2017-04-19,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2019-09-30,1260000,1.34,2019-10-15,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2019-03-31,1260000,1.34,2019-04-11,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2018-12-31,1260000,1.34,2019-01-21,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2018-09-30,1260000,1.34,2018-10-09,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2018-06-30,1260000,1.34,2018-07-19,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2018-03-31,1260000,1.34,2018-04-14,Threshold Routine
Elara India,Excel Realty N Infra Ltd,INE688J01015,2017-12-31,420000,1.34,2018-01-09,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2019-12-31,791700,4.67,2020-01-16,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2019-09-30,791700,4.67,2019-10-17,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2019-06-30,791700,4.67,2019-07-16,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2019-03-31,800000,4.72,2019-04-10,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2018-12-31,800000,4.72,2019-01-11,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2018-09-30,800000,4.72,2018-10-18,Threshold Routine
Elara India,GSS INFOTECH LTD.,INE871H01011,2018-06-30,800000,4.72,2018-07-17,Threshold Routine
Elara India,Renaissance Global Ltd,INE722H01016,2017-06-30,533234,2.79,2017-07-19,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2017-09-30,1846067,7.78,2017-10-13,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2017-06-30,1846067,7.78,2017-07-12,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2017-03-31,1846067,7.78,2017-04-12,Threshold Routine
Elara India,Paisalo Digital Ltd,INE420C01042,2016-12-31,1846067,7.78,2017-01-15,Threshold Routine
Elara India,GITANJALI GEMS LTD.,INE346H01014,2017-09-30,2340000,1.97,2017-10-17,Threshold Routine
