manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing,Close,MKTValue,PriceReturn,beta,TotalMktValue,PWeight,SecReturn,WeightedBeta
Amansa,Indian Energy Exchange Ltd,INE022Q01020,2019-12-31,11318353,3.78,2020-01-21,Threshold Routine,142.8,1616260808.4,0.18358889349357588,0.3465,92145258393.49998,1.754,0.00322,0.006078
Amansa,Indian Energy Exchange Ltd,INE022Q01020,2019-09-30,11318353,3.78,2019-10-15,Threshold Routine,120.65,1365559289.45,-0.16273421235253305,0.3465,87464000333.09999,1.5613,-0.002541,0.00541
Amansa,FORTIS HEALTHCARE LTD.,INE061F01013,2017-03-31,18798822,3.63,2017-07-10,Threshold Routine,180.7,3396947135.4,-0.0008294166436274564,0.6831,68536688477.80001,4.9564,-4.1e-05,0.033857
Amansa,FORTIS HEALTHCARE LTD.,INE061F01013,2017-06-30,8038500,1.55,2017-07-10,Threshold Routine,162.0,1302237000.0,-0.10348644161593723,0.6831,66574598226.750015,1.9561,-0.002024,0.013362
Amansa,FORTIS HEALTHCARE LTD.,INE061F01013,2019-12-31,23008164,3.05,2020-01-21,Threshold Routine,131.9,3034776831.6,-0.024047354790972753,0.6831,92145258393.49998,3.2935,-0.000792,0.022498
Amansa,Cholamandalam Investment and Finance Company Ltd,INE121A01024,2016-12-31,4000000,2.56,2017-01-31,Threshold Routine,189.32,757280000.0,-0.18209703201278837,0.9984,57086029330.9,1.3266,-0.002416,0.013245
Amansa,Cholamandalam Investment and Finance Company Ltd,INE121A01024,2016-06-30,5800000,3.71,2016-07-26,Threshold Routine,189.71,1100318000.0,0.3151473136915064,0.9984,41975862162.92998,2.6213,0.008261,0.026171
Amansa,Cholamandalam Investment and Finance Company Ltd,INE121A01024,2016-09-30,5397013,3.45,2016-10-21,Threshold Routine,231.47,1249246599.11,0.22012545464129452,0.9984,54540550070.11,2.2905,0.005042,0.022868
Amansa,Cholamandalam Investment and Finance Company Ltd,INE121A01024,2015-12-31,6144336,3.94,2016-01-27,Threshold Routine,128.37,788748412.32,0.0,0.9984,24580360044.870003,3.2089,0.0,0.032038
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2016-06-30,4776591,6.57,2016-07-07,Threshold Routine,265.5,1268184910.5,0.14242685025817514,0.5853,41975862162.92998,3.0212,0.004303,0.017683
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2016-09-30,4776591,6.57,2016-10-27,Threshold Routine,253.25,1209671670.75,-0.04613935969868177,0.5853,54540550070.11,2.2179,-0.001023,0.012981
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2016-12-31,4841207,6.66,2017-01-11,Threshold Routine,216.25,1046911013.75,-0.1461006910167818,0.5853,57086029330.9,1.8339,-0.002679,0.010734
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2017-03-31,4031191,5.55,2017-04-13,Threshold Routine,262.3,1057381399.3,0.21294797687861222,0.5853,68536688477.80001,1.5428,0.003285,0.00903
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2017-06-30,4000000,5.5,2017-07-17,Threshold Routine,340.1,1360400000.0,0.2966069386199002,0.5853,66574598226.750015,2.0434,0.006061,0.01196
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2017-09-30,4000000,5.5,2017-10-14,Threshold Routine,296.05,1184200000.0,-0.1295207291972943,0.5853,72769210336.73,1.6273,-0.002108,0.009525
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2017-12-31,4000000,5.5,2018-01-20,Threshold Routine,439.15,1756600000.0,0.4833642965715246,0.5853,79206812371.65999,2.2177,0.01072,0.01298
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2018-03-31,4000000,5.5,2018-04-19,Threshold Routine,374.75,1499000000.0,-0.14664693157235542,0.5853,78533531664.87003,1.9087,-0.002799,0.011172
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2018-09-30,2796887,3.85,2018-12-18,Threshold Routine,197.15,551406272.05,-0.12358301844854391,0.5853,75196168800.95,0.7333,-0.000906,0.004292
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2018-12-31,2796887,3.85,2019-01-15,Threshold Routine,187.6,524696001.2,-0.04844027390311978,0.5853,73182507867.82,0.717,-0.000347,0.004197
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2019-06-30,2796887,3.85,2019-07-20,Threshold Routine,79.9,223471271.3,-0.5839625097630825,0.5853,89615047309.0,0.2494,-0.001456,0.00146
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2019-03-31,2796887,3.85,2019-04-18,Threshold Routine,192.05,537142148.35,0.0237206823027718,0.5853,92728415703.11998,0.5793,0.000137,0.003391
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2019-12-31,2796887,3.85,2020-01-17,Threshold Routine,54.75,153129563.25,0.20860927152317843,0.5853,92145258393.49998,0.1662,0.000347,0.000973
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2019-09-30,2796887,3.89,2019-10-22,Threshold Routine,45.3,126698981.1,-0.43304130162703414,0.5853,87464000333.09999,0.1449,-0.000627,0.000848
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2015-12-31,3243150,4.46,2016-01-09,Threshold Routine,301.35,977323252.5,0.0,0.5853,24580360044.870003,3.976,0.0,0.023272
Amansa,EVEREADY INDUSTRIES INDIA LTD.,INE128A01029,2018-06-30,2796887,3.85,2018-07-27,Threshold Routine,224.95,629159730.65,-0.3997331554369581,0.5853,80192742612.09998,0.7846,-0.003136,0.004592
Amansa,Cyient Limited,INE136B01020,2018-03-31,7235341,6.43,2018-07-16,Threshold Routine,694.85,5027476693.85,0.19134162023146195,0.3815,78533531664.87003,6.4017,0.012249,0.024422
Amansa,Cyient Limited,INE136B01020,2018-06-30,7235341,6.41,2018-07-16,Threshold Routine,766.5,5545888876.5,0.10311578038425573,0.3815,80192742612.09998,6.9157,0.007131,0.026383
Amansa,Cyient Limited,INE136B01020,2018-09-30,7235341,6.4,2018-11-01,Threshold Routine,745.2,5391776113.2,-0.027788649706457114,0.3815,75196168800.95,7.1703,-0.001993,0.027355
Amansa,Cyient Limited,INE136B01020,2018-12-31,7235341,6.4,2019-01-18,Threshold Routine,620.0,4485911420.0,-0.16800858829844334,0.3815,73182507867.82,6.1298,-0.010299,0.023385
Amansa,Cyient Limited,INE136B01020,2019-03-31,7435341,6.69,2019-04-20,Threshold Routine,649.45,4828882212.45,0.047499999999999654,0.3815,92728415703.11998,5.2076,0.002474,0.019867
Amansa,Cyient Limited,INE136B01020,2019-06-30,7435341,6.76,2019-07-19,Threshold Routine,542.1,4030698356.1,-0.16529371006235982,0.3815,89615047309.0,4.4978,-0.007435,0.017159
Amansa,Cyient Limited,INE136B01020,2019-09-30,7435341,6.76,2019-10-18,Threshold Routine,465.35,3460035934.35,-0.14157904445674196,0.3815,87464000333.09999,3.956,-0.005601,0.015092
